"type"      , "Status"  , "Amount_In_Dollars", "Original_Date"           , "Traded_Time", "Last_Updated"                 , "Deposit_Type", "Fee_In_Dollars", "Market_Title", "Market_Ticker"          , "Market_Id"                           , "Filled", "Remaining", "Direction", "Order_Type", "Price_In_Cents", "No_Contracts_Owned", "No_Contracts_Average_Price_In_Cents", "Yes_Contracts_Owned", "Yes_Contracts_Average_Price_In_Cents", "Result", "Profit_In_Dollars", "Credit_Reason"                                  , "Credit_Type", "Introducing_Broker"
"Settlement", ""        , ""                 , "2026-05-09T17:45:16.993Z", ""           , ""                             , ""            , ""              , ""            , "KXETH15M-26MAY091345-45", ""                                    , ""      , ""         , ""         , ""          , ""              , "0"                 , "0.00"                               , "0"                  , "0.00"                                , "no"    , "0.00"             , ""                                               , ""           , ""
"Order"     , "Canceled", ""                 , "2026-05-09T17:43:09.200Z", ""           , ""                             , ""            , ""              , ""            , "KXETH15M-26MAY091345-45", "fe4ef4e1-a2a4-482d-85ad-ae4558adb2ca", "0"     , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Order"     , "Canceled", ""                 , "2026-05-09T17:43:09.200Z", ""           , ""                             , ""            , ""              , ""            , "KXETH15M-26MAY091345-45", "fe4ef4e1-a2a4-482d-85ad-ae4558adb2ca", "0"     , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Order"     , "Canceled", ""                 , "2026-05-09T17:43:03.451Z", ""           , ""                             , ""            , ""              , ""            , "KXETH15M-26MAY091345-45", "fe4ef4e1-a2a4-482d-85ad-ae4558adb2ca", "0"     , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Order"     , "Canceled", ""                 , "2026-05-09T17:43:03.450Z", ""           , ""                             , ""            , ""              , ""            , "KXETH15M-26MAY091345-45", "fe4ef4e1-a2a4-482d-85ad-ae4558adb2ca", "0"     , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Order"     , "Canceled", ""                 , "2026-05-09T17:42:14.241Z", ""           , ""                             , ""            , ""              , ""            , "KXETH15M-26MAY091345-45", "fe4ef4e1-a2a4-482d-85ad-ae4558adb2ca", "0"     , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Order"     , "Canceled", ""                 , "2026-05-09T17:42:14.240Z", ""           , ""                             , ""            , ""              , ""            , "KXETH15M-26MAY091345-45", "fe4ef4e1-a2a4-482d-85ad-ae4558adb2ca", "0"     , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Settlement", ""        , ""                 , "2026-05-09T16:45:16.956Z", ""           , ""                             , ""            , ""              , ""            , "KXBTC15M-26MAY091245-45", ""                                    , ""      , ""         , ""         , ""          , ""              , "0"                 , "0.00"                               , "13"                 , "0.20"                                , "no"    , "0.00"             , ""                                               , ""           , ""
"Order"     , "Filled"  , ""                 , "2026-05-09T16:42:26.470Z", ""           , ""                             , ""            , ""              , ""            , "KXBTC15M-26MAY091245-45", "281387c9-f5ae-4a86-82eb-e608e4972229", "8.55"  , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Trade"     , ""        , "8.55"             , "2026-05-09T16:42:26.470Z", "12:42pm EDT", ""                             , ""            , "0.05"          , ""            , "KXBTC15M-26MAY091245-45", "281387c9-f5ae-4a86-82eb-e608e4972229", ""      , ""         , "Yes"      , "Taker"     , "9"             , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Order"     , "Canceled", ""                 , "2026-05-09T16:41:30.467Z", ""           , ""                             , ""            , ""              , ""            , "KXBTC15M-26MAY091245-45", "281387c9-f5ae-4a86-82eb-e608e4972229", "0"     , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Order"     , "Canceled", ""                 , "2026-05-09T16:41:30.466Z", ""           , ""                             , ""            , ""              , ""            , "KXBTC15M-26MAY091245-45", "281387c9-f5ae-4a86-82eb-e608e4972229", "0"     , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Order"     , "Filled"  , ""                 , "2026-05-09T16:31:52.406Z", ""           , ""                             , ""            , ""              , ""            , "KXBTC15M-26MAY091245-45", "281387c9-f5ae-4a86-82eb-e608e4972229", "4.47"  , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
